,,,,
AREA_ID,AREA_NAME,PARENT_NAME,PARENT_PARENT_Name,AREA_Parent_PP_NAME
98164,Kantagnos,CITY OF BAYBAY,LEYTE,Kantagnos_CITY OF BAYBAY_LEYTE
98165,Kilim,CITY OF BAYBAY,LEYTE,Kilim_CITY OF BAYBAY_LEYTE
98166,Lintaon,CITY OF BAYBAY,LEYTE,Lintaon_CITY OF BAYBAY_LEYTE
98167,Maganhan,CITY OF BAYBAY,LEYTE,Maganhan_CITY OF BAYBAY_LEYTE
98168,Mahayahay,CITY OF BAYBAY,LEYTE,Mahayahay_CITY OF BAYBAY_LEYTE
98169,Mailhi,CITY OF BAYBAY,LEYTE,Mailhi_CITY OF BAYBAY_LEYTE
98170,Maitum,CITY OF BAYBAY,LEYTE,Maitum_CITY OF BAYBAY_LEYTE
98171,Makinhas,CITY OF BAYBAY,LEYTE,Makinhas_CITY OF BAYBAY_LEYTE
98172,Mapgap,CITY OF BAYBAY,LEYTE,Mapgap_CITY OF BAYBAY_LEYTE
98173,Marcos,CITY OF BAYBAY,LEYTE,Marcos_CITY OF BAYBAY_LEYTE
98174,Maslug,CITY OF BAYBAY,LEYTE,Maslug_CITY OF BAYBAY_LEYTE
98175,Matam-is,CITY OF BAYBAY,LEYTE,Matam-is_CITY OF BAYBAY_LEYTE
98176,Maybog,CITY OF BAYBAY,LEYTE,Maybog_CITY OF BAYBAY_LEYTE
98177,Maypatag,CITY OF BAYBAY,LEYTE,Maypatag_CITY OF BAYBAY_LEYTE
98178,Monterico,CITY OF BAYBAY,LEYTE,Monterico_CITY OF BAYBAY_LEYTE
98179,Palhi,CITY OF BAYBAY,LEYTE,Palhi_CITY OF BAYBAY_LEYTE
98180,Pangasungan,CITY OF BAYBAY,LEYTE,Pangasungan_CITY OF BAYBAY_LEYTE
98181,Pansagan,CITY OF BAYBAY,LEYTE,Pansagan_CITY OF BAYBAY_LEYTE
98182,Patag,CITY OF BAYBAY,LEYTE,Patag_CITY OF BAYBAY_LEYTE
98183,Plaridel,CITY OF BAYBAY,LEYTE,Plaridel_CITY OF BAYBAY_LEYTE
98184,Poblacion Zone 2,CITY OF BAYBAY,LEYTE,Poblacion Zone 2_CITY OF BAYBAY_LEYTE
98185,Poblacion Zone 3,CITY OF BAYBAY,LEYTE,Poblacion Zone 3_CITY OF BAYBAY_LEYTE
98186,Poblacion Zone 4,CITY OF BAYBAY,LEYTE,Poblacion Zone 4_CITY OF BAYBAY_LEYTE
98187,Poblacion Zone 5,CITY OF BAYBAY,LEYTE,Poblacion Zone 5_CITY OF BAYBAY_LEYTE
98188,Poblacion Zone 6,CITY OF BAYBAY,LEYTE,Poblacion Zone 6_CITY OF BAYBAY_LEYTE
98189,Poblacion Zone 7,CITY OF BAYBAY,LEYTE,Poblacion Zone 7_CITY OF BAYBAY_LEYTE
98190,Poblacion Zone 8,CITY OF BAYBAY,LEYTE,Poblacion Zone 8_CITY OF BAYBAY_LEYTE
98191,Poblacion Zone 9,CITY OF BAYBAY,LEYTE,Poblacion Zone 9_CITY OF BAYBAY_LEYTE
98192,Poblacion Zone 10,CITY OF BAYBAY,LEYTE,Poblacion Zone 10_CITY OF BAYBAY_LEYTE
98193,Poblacion Zone 11,CITY OF BAYBAY,LEYTE,Poblacion Zone 11_CITY OF BAYBAY_LEYTE
98194,Poblacion Zone 12,CITY OF BAYBAY,LEYTE,Poblacion Zone 12_CITY OF BAYBAY_LEYTE
98195,Poblacion Zone 13,CITY OF BAYBAY,LEYTE,Poblacion Zone 13_CITY OF BAYBAY_LEYTE
98196,Poblacion Zone 14,CITY OF BAYBAY,LEYTE,Poblacion Zone 14_CITY OF BAYBAY_LEYTE
98197,Poblacion Zone 15,CITY OF BAYBAY,LEYTE,Poblacion Zone 15_CITY OF BAYBAY_LEYTE
98198,Poblacion Zone 16,CITY OF BAYBAY,LEYTE,Poblacion Zone 16_CITY OF BAYBAY_LEYTE
98199,Poblacion Zone 17,CITY OF BAYBAY,LEYTE,Poblacion Zone 17_CITY OF BAYBAY_LEYTE
98200,Poblacion Zone 18,CITY OF BAYBAY,LEYTE,Poblacion Zone 18_CITY OF BAYBAY_LEYTE
98201,Poblacion Zone 19,CITY OF BAYBAY,LEYTE,Poblacion Zone 19_CITY OF BAYBAY_LEYTE
98202,Poblacion Zone 20,CITY OF BAYBAY,LEYTE,Poblacion Zone 20_CITY OF BAYBAY_LEYTE
98203,Poblacion Zone 21,CITY OF BAYBAY,LEYTE,Poblacion Zone 21_CITY OF BAYBAY_LEYTE
98204,Poblacion Zone 22,CITY OF BAYBAY,LEYTE,Poblacion Zone 22_CITY OF BAYBAY_LEYTE
98205,Poblacion Zone 23,CITY OF BAYBAY,LEYTE,Poblacion Zone 23_CITY OF BAYBAY_LEYTE
98206,Pomponan,CITY OF BAYBAY,LEYTE,Pomponan_CITY OF BAYBAY_LEYTE
98207,Punta,CITY OF BAYBAY,LEYTE,Punta_CITY OF BAYBAY_LEYTE
98208,Sabang,CITY OF BAYBAY,LEYTE,Sabang_CITY OF BAYBAY_LEYTE
98209,San Agustin,CITY OF BAYBAY,LEYTE,San Agustin_CITY OF BAYBAY_LEYTE
98210,San Isidro,CITY OF BAYBAY,LEYTE,San Isidro_CITY OF BAYBAY_LEYTE
98211,San Juan,CITY OF BAYBAY,LEYTE,San Juan_CITY OF BAYBAY_LEYTE
98212,Santa Cruz,CITY OF BAYBAY,LEYTE,Santa Cruz_CITY OF BAYBAY_LEYTE
98213,Santo Rosario,CITY OF BAYBAY,LEYTE,Santo Rosario_CITY OF BAYBAY_LEYTE
98214,Sapa,CITY OF BAYBAY,LEYTE,Sapa_CITY OF BAYBAY_LEYTE
98215,Ciabo,CITY OF BAYBAY,LEYTE,Ciabo_CITY OF BAYBAY_LEYTE
